artDate,artTitle,artContent,sentence,LLM,情緒,文章分類
2024-03-29 12:08:44,問題裕隆野望,近年電車成為新的藍海市場崛起有特斯拉當領頭羊一路往前狂奔也有中國電車後起之秀電動車拼命追趕馳騁世界裕隆台灣汽車的北極星縱橫台灣車市幾十年市占穩定技術領先獲利驚人會怎麼在這個世界車市改變的浪潮中稱霸呢還是買下所有中國電車的代理權然後死都不賣以保護自己原本的市場分額呢,近年電車成為新的藍海市場崛起有特斯拉當領頭羊一路往前狂奔也有中國電車後起之秀電動車拼命追趕馳騁世界裕隆台灣汽車的北極星縱橫台灣車市幾十年市占穩定技術領先獲利驚人會怎麼在這個世界車市改變的浪潮中稱霸呢還是買下所有中國電車的代理權然後死都不賣以保護自己原本的市場分額呢,"{""文章分類"":""性價比方面"",""情緒"":""負面"",}",,
2024-03-29 15:56:39,問題台灣什麼時候要引進鯰魚,中國為了逼迫企業發展電動車引進了特斯拉開出一堆超優質條件又給地又給貸款又給全資直接衝擊整個大陸造車業開始玩命研發導致了現在大陸的電動車產業領先世界百花齊放台灣現在車市也是一灘死水車廠不思進取只想躺著賺錢是不是也該引進幾條鯰魚來敲打一下台灣的車廠看看能不能也敲出些什麼好產品說不定能弄出個產業呢,中國為了逼迫企業發展電動車引進了特斯拉開出一堆超優質條件又給地又給貸款又給全資直接衝擊整個大陸造車業開始玩命研發導致了現在大陸的電動車產業領先世界百花齊放台灣現在車市也是一灘死水車廠不思進取只想躺著賺錢是不是也該引進幾條鯰魚來敲打一下台灣的車廠看看能不能也敲出些什麼好產品說不定能弄出個產業呢,"{""文章分類"": ""性價比方面"",""情緒"": ""負面""}",,
2024-03-29 23:53:34,情報特斯拉今日起開放全美車主天試用,現在不叫版改成版開始全美萬車主公測囉新的除了程式自動駕駛外還有自動停車功能到底美國四月路上的特斯拉會變成怎麼樣呢拭目以待,現在不叫版改成版開始全美萬車主公測囉新的除了程式自動駕駛外還有自動停車功能到底美國四月路上的特斯拉會變成怎麼樣呢拭目以待,"{""文章分類"": ""使用者體驗"",""情緒"": ""中性"",}",,
2024-03-31 05:56:30,討論華為的,最近特斯拉讓人眼睛一亮結果看了問界無圖智駕在北京一堆機車行人的情況下真的非常厲害激光雷達毫米波雷達視覺訓練整合價格雖然是萬人民幣但是那個智能駕駛的技術展示我認為完全不輸純視覺的特斯拉自動駕駛技術真的年內會實現阿光達系統的提供的準確物體距離視覺圖像顏色整合怪不得美國要限制中國的晶片然後川普說中國車關稅要中國龍真的要甦醒了不壓不行啊,最近特斯拉讓人眼睛一亮結果看了問界無圖智駕在北京一堆機車行人的情況下真的非常厲害激光雷達毫米波雷達視覺訓練整合價格雖然是萬人民幣但是那個智能駕駛的技術展示我認為完全不輸純視覺的特斯拉自動駕駛技術真的年內會實現阿光達系統的提供的準確物體距離視覺圖像顏色整合怪不得美國要限制中國的晶片然後川普說中國車關稅要中國龍真的要甦醒了不壓不行啊,"{""文章分類"": ""安全性方面"",""情緒"": ""正面"",}",,
2024-03-31 12:21:52,討論華為的,中國智駕又不只華為小鵬理想還有小米等高階電車早就普遍使用特斯拉只有美國有而且路況相對單純中國現在都還沒開放根本無從比較但是一堆人說特斯拉比較厲害都還不能自動停車咧,中國智駕又不只華為小鵬理想還有小米等高階電車早就普遍使用特斯拉只有美國有而且路況相對單純中國現在都還沒開放根本無從比較但是一堆人說特斯拉比較厲害都還不能自動停車咧,"{""文章分類"": ""安全性方面"",""情緒"": ""中性"",}",,
2024-03-31 16:18:38,情報小米發表會,汽車之家電耗評比直播小米配寸性能胎小米配寸低阻胎極氪特斯拉極氪看起來涼了不過用小米四分之三電池量續航里程跟小米打了個不相上下,汽車之家電耗評比直播小米配寸性能胎小米配寸低阻胎極氪特斯拉極氪看起來涼了不過用小米四分之三電池量續航里程跟小米打了個不相上下,"{""文章分類"":""性價比方面"",""情緒"":""負面"",}",,
2024-03-31 22:26:18,討論華為的,別傻了中國唯一說大實話的雷軍都承認自駕光算力都離特斯拉很遠特斯拉現在是萬台車北美加拿大任何地方都能用且隨便你上傳網路給大家看等有萬台車全大陸都可以用且開放大家任意拍視頻再來吹也不遲牆內就是抄襲加堆料然後不賺錢讓人買而已可以吹便宜但不用吹技術有比特強好嗎大陸產品一直都走這路線又不是第一天了自駕目前就是一直針對一些特定場景做地區優化然後特斯拉怎麼做就抄襲跟上當然比台灣強多了不過也不用以為世界第一賠錢程度世界第一倒是真的,別傻了中國唯一說大實話的雷軍都承認自駕光算力都離特斯拉很遠特斯拉現在是萬台車北美加拿大任何地方都能用且隨便你上傳網路給大家看等有萬台車全大陸都可以用且開放大家任意拍視頻再來吹也不遲牆內就是抄襲加堆料然後不賺錢讓人買而已可以吹便宜但不用吹技術有比特強好嗎大陸產品一直都走這路線又不是第一天了自駕目前就是一直針對一些特定場景做地區優化然後特斯拉怎麼做就抄襲跟上當然比台灣強多了不過也不用以為世界第一賠錢程度世界第一倒是真的,"{""文章分類"": ""安全性方面"",""情緒"": ""負面"",}",,
2024-03-31 23:46:59,問題特斯拉保險請益,新牽一台二手還沒交車不過上網才發現原來特斯拉強制保乙式好像只有新安東京跟富邦車體險能上網試算其他間都只能試算車體險之外的險種富邦就不看了一定貴新安東京我保下來要請問還有哪間保險是比較便宜的嗚嗚我前一台保丙式強制第三責任才一萬麻煩大神開示,新牽一台二手還沒交車不過上網才發現原來特斯拉強制保乙式好像只有新安東京跟富邦車體險能上網試算其他間都只能試算車體險之外的險種富邦就不看了一定貴新安東京我保下來要請問還有哪間保險是比較便宜的嗚嗚我前一台保丙式強制第三責任才一萬麻煩大神開示,"{""文章分類"": ""安全性方面"",""情緒"": ""負面"",""保險選擇"": ""新安東京、富邦車體險""}",,
2024-04-01 09:18:27,討論華為的,非常同意這篇的看法不要太去吹噓大陸的自動駕駛啥的前兩天剛好出了趟遠門開著我那台破爛麵包車一路上開了來回大約三百多公里不得不有以下幾個非常糟糕的地方要抱怨現在都了居然一路上每幾分鐘就警告我說手要握住方向盤真的好糟心一直都要去握方向盤感覺很差路過收費站也會一直吵著要我手握方向盤腳採煞車說他自己不會過收費站不會過閘道不虧是麵包車毫無駕駛體驗感說好的運動教調說好的駕駛體驗全部沒有就只會一直給我座椅按摩搞的都不知道是不是在開車了老實說真的感覺很差我朋友開特斯拉那評價多好運動感駕駛感速度感更別說各種智能體貼的操作真的落差感很大應該當時不該買麵包車特斯拉才是王道阿阿悶昨天我去隔壁朋友家看到一個情況我朋友用啥東西他兒子都覺得老爸選的東西是全世界最好的可能是教育的好吧,非常同意這篇的看法不要太去吹噓大陸的自動駕駛啥的前兩天剛好出了趟遠門開著我那台破爛麵包車一路上開了來回大約三百多公里不得不有以下幾個非常糟糕的地方要抱怨現在都了居然一路上每幾分鐘就警告我說手要握住方向盤真的好糟心一直都要去握方向盤感覺很差路過收費站也會一直吵著要我手握方向盤腳採煞車說他自己不會過收費站不會過閘道不虧是麵包車毫無駕駛體驗感說好的運動教調說好的駕駛體驗全部沒有就只會一直給我座椅按摩搞的都不知道是不是在開車了老實說真的感覺很差我朋友開特斯拉那評價多好運動感駕駛感速度感更別說各種智能體貼的操作真的落差感很大應該當時不該買麵包車特斯拉才是王道阿阿悶昨天我去隔壁朋友家看到一個情況我朋友用啥東西他兒子都覺得老爸選的東西是全世界最好的可能是教育的好吧,"{""文章分類"": ""使用者體驗"",""情緒"": ""負面""}",,
2024-04-01 12:06:19,情報滿電出門方案漲價,漲了左右降價維權漲價抗議消費者該一起來表達不滿惹吧對岸電動車來勢洶洶馬老闆是不想賣了嗎,漲了左右降價維權漲價抗議消費者該一起來表達不滿惹吧對岸電動車來勢洶洶馬老闆是不想賣了嗎,"{""文章分類"":""使用者體驗"",""情緒"":""正面"",}",,
2024-04-01 14:56:59,新聞歐洲月新車銷售數字出爐燃油車佔中國車成長,原文連結原文內容二月對於歐洲新車市場來說是一個積極的月份根據涵蓋個歐洲市場的數據登記了輛汽車比前一年增加了約與新冠疫情之前一樣推動成長的是汽油車佔總數的另一個非常有趣的數字涉及中國生產的汽車較去年同期成長增長達相比之下德國和西班牙生產的汽車註冊量分別成長了其中銷售冠軍是以輛年增位居歐洲最暢銷汽車榜首特斯拉以輛年增位居第二其次是輛年增如果單看電動車銷售排行特斯拉依然位居最暢銷電動車的頭銜同品牌的另一款暢銷車則掛牌輛實現了的成長緊隨其後的是而來自中國上汽集團的則持續以驚人成長情況名列第四接下來則依序是歐洲市場在月份純電動車的交車總數為輛成長歐洲市場月份銷售排行全市場歐洲市場月份銷售排行電動車心得說明字以上要高階版才有因為車價便宜而大賣真的是價錢決定了很多事,原文連結原文內容二月對於歐洲新車市場來說是一個積極的月份根據涵蓋個歐洲市場的數據登記了輛汽車比前一年增加了約與新冠疫情之前一樣推動成長的是汽油車佔總數的另一個非常有趣的數字涉及中國生產的汽車較去年同期成長增長達相比之下德國和西班牙生產的汽車註冊量分別成長了其中銷售冠軍是以輛年增位居歐洲最暢銷汽車榜首特斯拉以輛年增位居第二其次是輛年增如果單看電動車銷售排行特斯拉依然位居最暢銷電動車的頭銜同品牌的另一款暢銷車則掛牌輛實現了的成長緊隨其後的是而來自中國上汽集團的則持續以驚人成長情況名列第四接下來則依序是歐洲市場在月份純電動車的交車總數為輛成長歐洲市場月份銷售排行全市場歐洲市場月份銷售排行電動車心得說明字以上要高階版才有因為車價便宜而大賣真的是價錢決定了很多事,"{""文章分類"": ""性價比方面"",""情緒"": ""正面""}",,
2024-04-02 11:06:05,討論電動車主社區不准設充電樁是不是就沒輒了,台灣人大部分的壞習慣本來就不適合社區裝充電樁台灣人平均一台車使用年今天我買一台萬特斯拉隔壁停著一台年前電動車用著年前充電樁你能禁止嗎台灣人電器電線車子大都用到壞了或燒才更換你社區如果開放後續時間到那些老舊電動車充電樁能禁止嗎韓國電動車火災很多都是充電中現有大樓泡沫設備滅火不能滅電動車只能滅油車你們大樓有要更換新設備嗎你以為有保險就賠你一台車嗎上圖每年一堆電器電線老舊起火比例就知道台灣人習慣,台灣人大部分的壞習慣本來就不適合社區裝充電樁台灣人平均一台車使用年今天我買一台萬特斯拉隔壁停著一台年前電動車用著年前充電樁你能禁止嗎台灣人電器電線車子大都用到壞了或燒才更換你社區如果開放後續時間到那些老舊電動車充電樁能禁止嗎韓國電動車火災很多都是充電中現有大樓泡沫設備滅火不能滅電動車只能滅油車你們大樓有要更換新設備嗎你以為有保險就賠你一台車嗎上圖每年一堆電器電線老舊起火比例就知道台灣人習慣,"{""文章分類"": ""安全性方面"",""情緒"": ""負面"",}",,
