system_id,sentence
240.0,它已經建立了從設計到測試以及製造的各個方面的電動車能力，並聲稱到年它將生產全球的電動車
240.0,例如宣布鴻海將生產其模型
240.0,中國除了華為已與中國汽車製造商合作推出插電式混合動力和全電動車之外，科技公司小米有望在年憑藉著想要學習特斯拉轎車設計的概念而推出自己品牌的電動車
240.0,其實，小米汽車於年就已經正式註冊，旗下並擁有多名研發團隊員工，最近完成了其首款電動車車型的冬季測試
240.0,小米將其電動車的定位是，進入特斯拉小型電動車的價格的入門級車型，也擁有和蔚來和小鵬等性能和尺寸致的高級轎車
240.0,其中，入門級車型可能採用伏特充電架構，使用的磷酸鐵鋰電池，而高階車型可獲得伏特平台，配備感測器和輝達的運算晶片，並為未來自動駕駛做準備
240.0,此外，小米電動車的所有型號均採用高通汽車處理器，並配備大型中央觸控螢幕，這也是中國新推出電動車的典型特徵
240.0,至於蘋果，其電動車專案已經以不同程度研發了大約八年
240.0,雖然有關其電動車的資訊仍舊很少，但蘋果公司卻已經宣布其下代將能夠更像作業系統樣工作，並接管儀表板以及對座椅加熱和空調等功能進行控制
240.0,谷歌的作業系統，已經為各種汽車提供車載智慧化，包括富豪雷諾和各種通用汽車品牌
240.0,總之，對於新玩家來說，電動車是個新領域且具備更多獲利條件，如今出現了前所未有的蓬勃發展，因為大家都相信電氣化傳動系統為電子和其他科技領域的公司提供新商機，是絕對不能錯過的新領域
240.0,如何突破傳統汽車設計的限制，為電動車帶來新生命，將有賴電子廠商的新創意了
240.0,心得/說明字以上
240.0,電動車市場潛力無窮且不再只有車廠能夠加入戰局，索尼鴻海輝達高通蘋果谷歌，以及小米都紛紛加入市場開發及車載軟體等，其中小米更在近日完成其首款的冬季測試，小米開發入門及高階車款，次開發兩種車款
240.0,原文及網址連結
240.0,心得或意見字不含標點符號
386.0,原文連結
386.0,/////
386.0,_
386.0,原文內容竹北莊敬六路處建築基地旁昨日發生馬路坍塌意外，輛才落地個月的特斯拉當
386.0,埸掉入坑洞，車主接獲妻子通報趕到現場，雖然當下慶幸還好人沒在裡面，但這
386.0,生死瞬間的慶幸卻造成全家人的恐懼
386.0,他說，因為這起意外造成他憂鬱恐慌症復發，
386.0,昨晚靠著藥物才能入睡，更慘的是
386.0,萬的新車根本沒辦法修，只能報廢
386.0,車主表示，昨日中午位自稱是工地主任的建設公司代表主動找上他，車主主動拿出名片
386.0,給對方，但對方只留下我們會再聯繫你就沒了，他連對方是誰之後對口要找誰電
386.0,話幾號甚至公司打總機要轉給誰都不知道，完全處於個快要被拋棄的階段
386.0,另方面，吊車業者昨天將掉入天坑的特斯拉吊回台北，特斯拉總公司回復車輛已經報
386.0,廢，根本連修都沒辦法修，萬的新車只開了個多月，雖然有理賠，但是車子包膜
386.0,貼隔熱紙等多萬的費用全都無法理賠
386.0,車主雖然安慰自己人沒事就好，但是只要回想，自己和掉落的時間相差這麼接近，
386.0,而孩子才剛出生，如果剛好載老婆孩子家三口呢
386.0,天坑吞特斯拉已經造成全家人
386.0,的陰影，讓他憂鬱症恐慌症發作，昨晚靠著藥物才能入睡
386.0,車主說，最令人氣憤的是事發到現在，
386.0,不論是建設公司縣政府市公所以及各民意代表
386.0,，沒有任何個權責單位來關心或慰問他，協助我後續的生活不便或理賠
386.0,，明明昨天
386.0,在現場大批民代議員助理立委助理都到現場拍照發臉書甚至直播，結果所有人都
386.0,只是擺拍，罵些無關痛癢卻沒有實質建設的口水，對於車主受災住戶，沒有點實質
386.0,上的幫助
386.0,他說，自己和家人已因受到驚嚇造成心理陰影，但直到現在，自己都不知道
386.0,到底誰才是權責單位
386.0,車主說，好好的新車變成報廢孤兒，工作性質需要跑長途到外縣市，這段沒有車的
386.0,時間車主全都要自己吞，昨天都靠搭乘，之後可能要先租車渡過
386.0,車主說，目前
386.0,首先要釐清權責單位是誰，之後不排除委由律師或是保險公司代位求償，包含車輛本身的
386.0,賠償包膜隔熱紙等財損，甚至還要主張精神賠償
386.0,最後，他不滿的說這麼多的民意代表到現場，代表議員甚至立委助理，每個都臉書
386.0,社群發布，好像很關心這個事情，但是無論是現場居民安全問題，還是車主受害方，好像
386.0,並沒有給到實質的幫助，好像只是在創造話題，自己只是般普通人，好不容易存錢買
386.0,了車，現在發生這種事，難道真的要等到出人命了，權責單位民代才會有實際作為嗎
386.0,心得/說明字以上
386.0,有夠衰的
386.0,"剛簽的新車直接報廢,而且找不到權責單位,連建商都愛理不理,好險人沒事~"
507.0,大家好
507.0,這個新聞剛出來的時候
507.0,阿北我有點緊張
507.0,該不會真的沒辦法保吧
507.0,我還真的沒開過沒保險的車子耶
507.0,最後好像真的只有富邦出單
507.0,但是不能免自付
507.0,要綁天災罷工竊盜
507.0,好像還是沒有我想像的高啦
507.0,最後分享下我的保單給需要的人參考下
507.0,歲男性責任車體
507.0,////
526.0,原文連結
526.0,///
526.0,原文內容即日起至月日前訂購，並於本月完成交付，即可享有指定車款
526.0,免費選配套件升級，或首年免費乙式險及購車禮遇總值逾萬元
526.0,心得/說明字以上
526.0,最近銷量不好了，以前價格死硬的，現在還有限量交車贈品，而且看起來有現車
526.0,月下定月就可以交車了
526.0,原文及網址連結
526.0,心得或意見字不含標點符號
596.0,亞馬遜與合作，投入電動貨運車隊進軍歐洲市場
596.0,原文連結
596.0,///
596.0,原文內容
596.0,美國電商巨頭亞馬遜在歐洲推出訂製的電動貨車
596.0,這是的
596.0,電動車首次在美國以外的地區進行商業運輸，其首批台車輛將在未來幾週內，出現在
596.0,慕尼黑柏林和杜塞爾多夫的街頭上
596.0,亞馬遜在歐洲早已擁有數千台電動貨車，包括在德國就有超過台
596.0,該公司去年投資超
596.0,過億歐元，以實現其歐洲運輸網絡的電動化
596.0,亞馬遜的區域經理ä在份聲明中表示亞馬遜致力於年之前達成
596.0,淨零碳排放，減少配送相關的排放是實現這目標的關鍵部分
596.0,去年，我們以電動貨車和
596.0,電動自行車在德國運送超過萬個包裹，的新增功能將幫助我們能以永續的方式
596.0,向更多客戶配送包裹
596.0,亞馬遜也在去年夏季於美國開始部署的貨車，並表示已有超過台貨車在
596.0,超過個市場進行包裹遞送
596.0,年，亞馬遜已與達成協議，訂購萬台電動貨
596.0,車，預計在年之前完成交付
596.0,亞馬遜去年開始在歐洲測試使用試生產的車輛並用於配送
596.0,也利用測試的回
596.0,饋，對車輛的性能安全性舒適度功能性和耐用性等方面進行車輛的升級，以適應歐
596.0,洲城市的道路使用狀況
596.0,定製的電動貨車配有大型擋風玻璃以提供更大的駕駛視野，並標配先進駕駛輔助系統，具
596.0,有自動緊急剎車自適應巡航控制碰撞警告和度可視性等功能
596.0,同時也嵌入可以將
596.0,配送工作流程與車輛整合的技術，包括路線規劃導航和駕駛員支援等功能
596.0,這是電動車新創公司和德國賓士暫停在歐洲共同生產電動商用車
596.0,的計劃幾個月後，的電動貨車首次在歐洲進行運輸
596.0,當時，表示，其需要專
596.0,注於兩種消費車輛業務，卡車和運動型多用途車的銷售，以及與亞馬遜現有
596.0,的商業車輛業務
596.0,此次亞馬遜與的合作，將為歐洲運輸市場的環保永續注入強大動力
596.0,也期待未來更
596.0,多的運輸業者與電動車製造商能為全球提供更多的永續綠色運輸
596.0,心得/說明字以上
596.0,總部位於加利福尼亞州爾灣的是美國眾多追趕特斯拉公司的電動車新創公司中的佼
596.0,佼者
596.0,除了送貨車輛外，在伊利諾伊州諾馬爾市的唯裝配廠生產兩款面向消費者的車型
596.0,皮卡和運動型多用途車
650.0,原文連結
650.0,////
650.0,原文內容
650.0,美自駕新創更新開源自駕車軟體，內建自動輔助導航自駕功能，讓即使非高階
650.0,的市售車也能開始測試地圖導航自駕
650.0,不讓電動車龍頭特斯拉專美於前，以開源自駕車軟體而聞名的美國自駕新創近
650.0,日在自家技術年會中，宣布在最新版的自駕車軟體中，開始內建自動輔助導
650.0,航自駕功能，讓即使非高階車款的市售車款，現在也能通過在車上安裝這套軟體，來實現
650.0,地圖導航自駕，就像是特斯拉電動車的自動輔助導航自駕樣，而且改裝費不用千美元
650.0,不過該功能目前還是實驗版本
650.0,是由美國知名駭客在年成立的自駕新創，以面向自駕車後裝
650.0,市場為主，讓非高階的般市售車，也能夠透過安裝套開源自駕車軟體，搭
650.0,配客製硬體，就能具備有先進駕駛輔助的功能
650.0,推出短短幾年，已經支援逾款市售車，並且用戶更遍布美國中國韓國
650.0,日本及臺灣等
650.0,這些年來，軟體歷經多次改版更新，增加不少新功能，讓它的
650.0,自駕功能的表現越來越好
650.0,例如，其中個重要功能是交通號誌辨識，讓自駕車行駛時遇
650.0,到前方紅燈時會自動停車等待，直到轉為綠燈後繼續行駛
650.0,在今年技術年會中，宣布在新釋出的版更新中，推出實驗的自動
650.0,輔助導航自駕功能，透過這項新功能，將使得以後汽車開啟自駕模式時，不只是在道路上
650.0,穩定行駛而已，還能進步決定行駛路線，可以根據原先設定的導航地圖路線來行駛，減
650.0,少人為的介入
650.0,早在去年底場技術挑戰賽中，工程師就曾展示用臺裝有
650.0,軟體和硬體的市售車，成功將車開到指定的地點，全程沒有人為介入，完全依靠
650.0,導航自駕的方式來開車
650.0,在新推出的自動輔助導航自駕功能中，使用者輸入目的地後，會根據地
650.0,圖規畫的行駛路線來控制汽車沿著綠色的導航線行駛
650.0,做法上，是透過將裝置兩
650.0,顆鏡頭的前車影像畫面和導航地圖輸入到自駕模型中，來預測接下來的行駛路線
650.0,為了
650.0,方便自駕模型擷取地圖資訊，地圖輸入模型前，會先經過重新渲染並壓縮成每米
650.0,像素的圖像，並與的經緯度資訊，起輸入到推論模型中進行預測
650.0,在訓練方面，自駕車團隊以大量秒的行車影像片段，搭配地圖圖資建立訓練資
650.0,料庫，提供自駕模型進行訓練學習，讓模型能夠預測在特定地圖路線上的行駛情況，並學
650.0,習如何像人類樣開車
650.0,這項導航自駕功能目前已能運用在如高速公路等場景中，可以輔助駕駛完成上下交流道的
650.0,導航自駕
650.0,不過記者實際測試當接近要駛離交流道時，會控車自動變換到外車
650.0,道，但仍需要使用者手動打方向燈並輕碰方向盤，才能進行切換
650.0,出交流道遇岔路則會依
650.0,綠色的導航自駕路線走，不會呈現迷航狀態而開錯路
650.0,不過，目前在市區裡導航自駕仍具有定難度，需要較多人為介入，不過隨著後續的版本
650.0,更新，透過持續優化將使得它在各種市區場景的表現逐步提升
650.0,另外，值得注意的是，需
650.0,要是訂閱方案的用戶，才能夠使用該功能進行導航自駕
650.0,同天還更新硬體，推出改良的版本，升級了電源架構和加入立體聲喇
650.0,叭，處理器則是與前代使用相同的處理器，並搭配解析度的螢幕
650.0,"，但價格更便宜，每款售價,美元，約臺幣萬元"
650.0,心得/說明字以上
650.0,喔喔~沒想到連開源自駕車軟體現在也能有和特斯拉樣的導航自駕能力感覺滿厲害的
650.0,不知道遇到臺灣各種複雜路況和道路有沒有辦法應付得來
922.0,國內半導體業者持續深耕具發展潛力的車用電子市場
922.0,原文連結
922.0,///
922.0,原文內容
922.0,有鑑於車用電子將於年成為全球半導體第三大應用領域，且淨零排放的世界潮流也將
922.0,趨使電動車滲透率持續拉升，同時人工智慧的發展也將推進自駕車的進程，故國內半導體
922.0,業者近來各項布局策略與車用電子相關的案例甚多
922.0,以台積電來說，不論是前進日本熊本
922.0,廠或是德國廠，均是看好當地車廠對於台積電成熟製程的需求，再者技術長來台拜訪
922.0,台積電，也是期望鞏固兩者的合作關係，畢竟已為自駕車運算晶片下單台積電/奈米
922.0,製程訂單，~年更有機會成為晶圓代工龍頭業者奈米下單的潛在客戶之
922.0,國內半導體製造業方面除了台積電二線晶圓代工廠持續重兵部署車用半導體外，分離式
922.0,元件廠商更是持續深耕具有發展潛力的車用二極體電晶體市場
922.0,成熟製程目前仍是車用晶片的主流，台積電也將前往德國與合資共
922.0,同設置歐積電，進行車用成熟製程的晶圓廠投資，但高性能高可靠度的自駕車先
922.0,進車用晶片將是台積電發展的重要契機與優勢
922.0,聯電也相當積極布局，特別是車用電子是
922.0,聯電成長最快的應用領域之，公司取得微晶片科技等車用晶片大
922.0,廠訂單，這些客戶在全球車用晶片市戰率總計逾三成，年底也在爭取奈米相關車用
922.0,認證，全力搶攻車用市場
922.0,同時力積電車用佔整體合併營收約~，未來再加入
922.0,等新產品線，預計年車用佔比將拉升至~
922.0,另方面，車用市場已成為分離式元件廠商近年來的布局重心，以德微來說，公司汰舊換
922.0,新的產能預計年開出，將提升矽基晶片代工戰力，新應用主要鎖定電動
922.0,車
922.0,至於強茂已成功切入主電源管理虹冠電，未來將可望整合虹冠電的電源管理開發
922.0,技術，並整合強茂的二極體等產品線，共同拓展電動車相關市場，而強茂二極體
922.0,及產品線已拿下大單，後續自行開發的更將搶攻車用訂單
922.0,由於車用晶片商機可期，加上台系積體電路設計廠商也需有發揮的舞台，因而搭上平
922.0,台也成為我國業者另個布局方向之
922.0,有鑑於車用市場電子化程度升高，加上台廠趁著先前全球車用晶片荒及多年的耕耘，逐步
922.0,在後裝市場乃於跨入前裝市場有所成，更積極搶攻歐美日中等車用市場
922.0,以聯發科
922.0,而言，公司與攜手搶攻車用商機，宣布共同打造平台，將採用奈
922.0,米製程計劃於年量產，搶攻百億美元汽車智慧座艙系統商機，事實上，
922.0,汽車平台，集結聯發科在手機晶片中優勢，如行動運算高速連網多媒體娛樂等經
922.0,驗累積專業技術總成，以及生態系統，提供全方位沉浸式智慧座艙體驗
922.0,而瑞
922.0,昱方面，其已成功以車用乙太網路產品線，打進歐系車廠供應鏈，現正與美系陸系及韓
922.0,系車廠聯手合作，預期年逐步擴大車用產品業績貢獻，使瑞昱在車用接單表現持續看
922.0,增
922.0,我國封測業者主要是著重在先進駕駛輔助系統電動信息娛樂以及汽車電子控制單元與
922.0,安全性應用的半導體封裝技術發展
922.0,因應自駕車車聯網等趨勢，台廠積極提供等多種高
922.0,階封裝解決方案，以滿足車用半導體封裝的全面性需求，例如日月光投控將以更高度整合
922.0,以及更先進的扇出型封裝來搶佔車用封測商機
922.0,此外車載鏡頭數量也將呈倍數增加，同步
922.0,激發車用需求，故不少台系封測廠將車用業務視作未來重要的成長動能，例如同欣
922.0,電擁有最龐大的封測產能，精材則是專注，尤以車用占比最高
922.0,心得/說明字以上
922.0,台廠積極布局車用電子，以技術創新爭取全球車廠合作，提升供應鏈地位
954.0,本公司目前有項市場研究專案招募受訪者，
954.0,只要符合各專案的報名資格即可於本公司的活動網頁填寫報名資料，
954.0,我們將會從報名者中篩選出符合資格的受訪者進行訪談，
954.0,訪談結束後現場給付車馬費，歡迎符合資格且想賺外快的板友報名
954.0,若已是本網站會員，請直接登入後至專案網頁報名，
954.0,若尚未成為會員，請先註冊後並完成驗證，再至專案網頁報名
954.0,報名資料僅供聯繫及篩選使用，訪談資料僅供專案研究使用，
954.0,決不作為其他用途或交由專案以外人士，請放心報名
954.0,高雄市預計購車座談會
954.0,車馬費元
954.0,////
954.0,_
954.0,◎民國~年次，男女皆可
954.0,◎平時有開車習慣，是否有個人用車皆可
954.0,◎近期預計購買小型休旅車，預算萬以上
954.0,◎目前已有首選車型，必且有做相關了解
954.0,車馬費元
954.0,時間
954.0,/日~
954.0,/日~
954.0,座談會時間小時含報到
954.0,地點
954.0,高雄市苓雅區
954.0,報名請至活動網頁
954.0,////
954.0,_
954.0,台北市預計購車座談會
954.0,車馬費元
954.0,////
954.0,_
954.0,◎民國~年次，男女皆可
954.0,◎平時有開車習慣，是否有個人用車皆可
954.0,◎近期預計購買小型休旅車，預算萬以上
954.0,◎目前已有首選車型，必且有做相關了解
954.0,車馬費元
954.0,時間
954.0,/六
954.0,/六
954.0,座談會時間小時含報到
954.0,地點
954.0,台北市松山區
954.0,報名請至活動網頁
954.0,////
954.0,_
954.0,北部/南部特斯拉原廠保養調查
954.0,車馬費元
954.0,////
954.0,_
954.0,◎特斯拉車主
954.0,◎/至/已預約或即將預約進廠保養
954.0,車馬費元
954.0,時間
954.0,/~/
954.0,按照平常保養習慣進行即可，無須做其他紀錄或作業
954.0,地點
954.0,服務廠另行安排
954.0,報名請至活動網頁
954.0,////
954.0,_
954.0,全台高端車主問卷
954.0,訪問費元電子禮券
954.0,////
954.0,_
954.0,◎歲以上，男女皆可
954.0,◎
954.0,年~月交車
954.0,，車款為
954.0,全系列電動車
954.0,賓士全系列電動車
954.0,訪問費元電子禮券大品牌通路
954.0,時間
954.0,即日起至/五
954.0,問卷填答時間約~分鐘
954.0,檢附行照或車牌進行品質確認行照只需出示廠牌車型車牌原發照年月即可
954.0,地點
954.0,線上問卷
954.0,報名請至活動網頁
954.0,////
954.0,_
954.0,全台汽車神秘客
954.0,車馬費元起
954.0,////
954.0,_
954.0,◎民國~年次，男女皆可
954.0,◎為汽車的購買決策者及主要使用者
954.0,車馬費元起
954.0,依執行地區趟數不同費用會再增加
954.0,時間
954.0,即日起至月中
954.0,執行方式電話過濾合格後，佯裝成顧客前往指定店家諮詢相關問題，並試駕
954.0,執行前會詳細告知執行方式
954.0,須提供個人照片
954.0,地點
954.0,指定店家
954.0,報名請至活動網頁
954.0,////
954.0,_
1010.0,原文連結
1010.0,//////
1010.0,原文內容
1010.0,沒充電站特斯拉車主從住家樓拉電線台電說不行
1010.0,聯合報記者曾增勳桃園即時報導
1010.0,桃園市楊梅區大成路棟透天厝，昨天樓下馬路輛特斯拉電動車自樓上接線充電，遭民
1010.0,眾拍照到臉書舉發，引起網友熱議，台電桃園區營業處今天下午表示，民眾擅自轉供電
1010.0,流至供電範圍的電動車，不符合營業規章，將發函該用戶改善
1010.0,楊梅大成路的棟三層透天厝，店面樓上是住家，車主將輛特斯拉電動車，停在停車格
1010.0,，再從二樓電錶拉專線到陽台的特斯拉充電樁，垂降充電線到樓為車子充電，網友貼文
1010.0,到臉書群組，有的網友說，不要這樣，會製造公共危險，也有網友說，電動車充電不意外
1010.0,，位網友說，這就是電動車在台灣可能永遠不會成為主流的主要原因
1010.0,該特斯拉車主表示，因為楊梅附近沒有電動車充電裝置，他是從電錶拉線至陽台特斯拉充
1010.0,電裝置上，直接自特斯拉充電裝置拉線下去充電，他不是用延長線充電不是般插座
1010.0,也非營業用使用，且距離不遠，沒有妨礙別人也沒霸佔車位，並無安全顧慮，電動車充
1010.0,電，這也是住公寓的困擾
1010.0,楊梅附近居民看法不，陳姓市民認為，好像從二樓冷氣機拉線至樓，拉線很長為電動
1010.0,車充電，應符合法規，避免危險，可能是楊梅沒有特斯拉停車充電地方
1010.0,另有居民表示，
1010.0,第次看到電動車用這種延長線充電方式，只要不是私自接電，如果沒有安全疑慮，應該
1010.0,還好
1010.0,心得/說明字以上
1010.0,這樣會不會有安全的疑慮
1010.0,所以是因為樓不能設電樁
1010.0,所以要從二樓拉線
1010.0,不過如果都是自己家又沒安全疑慮
1010.0,應該也很難罰吧
1211.0,如題，目前很厲害的純電車廠，除了特斯拉，其他什麼比亞迪蔚來問界小鵬等等好像
1211.0,都是中國的，而且小米也說要做電動車
1211.0,而且我看的電車大橫評，那麼中國車廠在同價位萬人民幣好幾家都拿得出產
1211.0,品力比特斯拉更強的車子包含續航速度自動駕駛和內飾，尤其是內飾車過車廠給的都
1211.0,很豪華，還有像那個問界的自動駕駛是華為搞的，非常厲害的樣子
1211.0,感覺中國的電車產業鏈非常齊全，充電樁的普及率也非常高，現在歐洲也越來越多比亞迪的
1211.0,車型了，感覺中國車現在也在瞄準歐洲市場
1211.0,中國電車為什麼這麼厲害
1211.0,傳統車的國家日本歐洲在純電車上如果發力打的贏中國車廠嗎
1317.0,這個是個常在特斯拉柏林廠空拍的上傳的影片
1317.0,///
1317.0,可以看到從到之間，鏡頭中間從左到右有台半蓋住的小車明顯地比隔壁的
1317.0,要短很多，不可能是
1317.0,如果是其他廠牌的車大概也沒必要這樣半遮住，有可能是
1317.0,未來要推出的新款小車
1317.0,///
1317.0,///
1379.0,最近看車版覺得快變成政治版和八卦版
1379.0,真心覺得煩
1379.0,分享些真的和車子有關的情報希望能稍微對車板有點貢獻拋磚引玉
1379.0,拜託大家對我這篇磚能鞭的小力點
1379.0,先說下這篇年歐洲汽車市場銷量定義包含
1379.0,也就是包含歐盟國家英國和大家比較不熟的
1379.0,成員國有冰島列支敦斯登挪威以及瑞士
1379.0,"年歐洲汽車市場銷量有,,輛"
1379.0,相對年銷量成長約萬輛約的成長
1379.0,整個歐洲最大的單國家市場依然是德國
1379.0,年銷量約萬輛
1379.0,超過整個歐洲銷量的
1379.0,但以年來看
1379.0,其實德國銷量相對年只成長並不算特別突出
1379.0,在歐洲前五大銷量國家是排名最後的
1379.0,依成長率排序依序是再來是再來再來
1379.0,最後才是德國
1379.0,全歐洲品牌銷量的排行請看下圖
1379.0,///
1379.0,全歐洲第名品牌毫無懸念的是德國品牌
1379.0,作為歐洲最大市場德國的本土第國民品牌
1379.0,我已經懶得算連霸幾年了
1379.0,在德國就有超過萬台的銷量，德國市佔率
1379.0,在德國市佔率排在後面的依序為，都是德國品牌
1379.0,假如要買德國車，德國銷售第依然是
1379.0,///
1379.0,講完歐洲銷售第品牌
1379.0,再來換講歐洲銷售第的車型
1379.0,那就是創造歷史的
1379.0,為什麼說是創造歷史
1379.0,這是歐洲市場史上第次全歐洲銷售第的車型不是歐洲品牌
1379.0,這是歐洲市場史上第次由電動車拿下全歐洲銷售第的車型
1379.0,雖然有歐洲最大市場撐腰
1379.0,但還是檔不住橫掃歐洲各國電動車市場的風潮
1379.0,畢竟不是每台車都能像葉問樣個打個的
1379.0,///
1379.0,也許有人會想
1379.0,歐洲車電動車正夯，所以才讓搭順風車創造了這個歷史
1379.0,但這樣說好像也只對半
1379.0,作為長年全歐洲第的品牌其實對於電動車的布局是很早就未雨綢繆的
1379.0,以純電動車平台來說那種汽油車平台裝電動馬達的半成品就忽略不提
1379.0,早在約四年前就已經推出和搶攻電動車市場
1379.0,///
1379.0,所以也許只能說真的太強
1379.0,或者說自家的真的太強大
1379.0,假如用類似配票的策略
1379.0,把或其他車型的銷量分個萬台給自家的就能阻擋創造歷史
1379.0,但這樣講也只是事後諸葛了
1379.0,全歐洲第熱賣車型被奪走已經是事實
1379.0,電動車賣不贏的狀況應該三五年內也不可能扭轉
1379.0,電動車的研發與其看著前面已經追不到的
1379.0,可能更要擔心的是緊追在後的電動車
1379.0,另外集團內的電動車和義大利電動車其實距離的距離也沒有
1379.0,很遠
1379.0,///
1379.0,回到歐洲銷量品牌排名來看
1379.0,在歐洲整體銷量成長的情況下
1379.0,基本上相對年成長的品牌很多
1379.0,反而銷量衰退的品牌就顯得很突兀
1379.0,以歐洲年銷量萬以上的主流品牌來說只有和衰退
1379.0,假如放寬點看前名的品牌
1379.0,那衰退最多的就是
1379.0,銷量衰退到還賣輸保時捷和
1379.0,奇怪的是，稍微看了下歐洲產品線發現比台灣還齊全很多
1379.0,比台灣多了油電，純電休旅油電和插電
1379.0,不懂歐洲人怎麼會這麼不愛
1379.0,至於銷量成長的品牌實在太多
1379.0,所以縮小下範圍
1379.0,滿足以下條件的才特別提下
1379.0,和都是全歐洲銷量萬台以上的主流品牌
1379.0,年成長且銷量成長超過平均值的品牌
1379.0,年全歐洲銷量排名我找不到前的
1379.0,只找到前名的，大家對照參考
1379.0,///
1379.0,符合以上兩個標準的有以下品牌按銷量排名
1379.0,在歐洲真的厲害
1379.0,年還輸給和兩大豪華品牌
1379.0,但年不但逆轉勝成為歐洲銷售第的豪華品牌
1379.0,也是全歐洲銷售第三的品牌
