system_id,word,ner
954.0,台,GPE
954.0,即日,DATE
954.0,至月,DATE
1010.0,特斯拉,ORG
1010.0,聯合報,ORG
1010.0,曾增勳,PERSON
1010.0,桃園,GPE
1010.0,桃園市,GPE
1010.0,大成路棟透天厝,FAC
1010.0,昨天,DATE
1010.0,馬路,GPE
1010.0,特斯拉,GPE
1010.0,台電桃園區營業處,ORG
1010.0,今天,DATE
1010.0,下午,TIME
1010.0,楊梅大成路,FAC
1010.0,三,CARDINAL
1010.0,特斯拉,ORG
1010.0,二,CARDINAL
1010.0,陽台,ORG
1010.0,特斯拉,ORG
1010.0,台灣,GPE
1010.0,特斯拉,ORG
1010.0,楊梅,GPE
1010.0,陽台,GPE
1010.0,特斯拉,ORG
1010.0,特斯拉,ORG
1010.0,楊梅,GPE
1010.0,陳,PERSON
1010.0,二,CARDINAL
1010.0,楊梅,GPE
1010.0,特斯拉,ORG
1010.0,第次,ORDINAL
1010.0,二,CARDINAL
1211.0,特斯拉,ORG
1211.0,亞迪蔚,PERSON
1211.0,小鵬,PERSON
1211.0,中國,GPE
1211.0,中國,NORP
1211.0,特斯拉,ORG
1211.0,中國,GPE
1211.0,歐洲,LOC
1211.0,比亞迪,ORG
1211.0,歐洲,LOC
1211.0,中國,GPE
1211.0,日本,GPE
1211.0,歐洲,LOC
1317.0,特斯拉柏林廠,ORG
1379.0,歐洲,LOC
1379.0,歐盟,ORG
1379.0,英國,GPE
1379.0,冰島列支敦斯登挪威,PERSON
1379.0,瑞士,GPE
1379.0,歐洲,LOC
1379.0,萬,CARDINAL
1379.0,歐洲,LOC
1379.0,德國,GPE
1379.0,萬,CARDINAL
1379.0,歐洲,LOC
1379.0,德國,NORP
1379.0,歐洲,LOC
1379.0,五,CARDINAL
1379.0,德國,GPE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第名,ORDINAL
1379.0,德國,GPE
1379.0,歐洲,LOC
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,德國,NORP
1379.0,德國,GPE
1379.0,德國,GPE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第次,ORDINAL
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第次,ORDINAL
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,約四年前,DATE
1379.0,萬,CARDINAL
1379.0,諸葛,PERSON
1379.0,歐洲,LOC
1379.0,三五年內,DATE
1379.0,義大利,GPE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,萬,CARDINAL
1379.0,保時捷,PRODUCT
1379.0,歐洲,LOC
1379.0,台灣,GPE
1379.0,台灣,GPE
1379.0,歐洲人,NORP
1379.0,歐洲,LOC
1379.0,萬台,CARDINAL
1379.0,歐洲,LOC
1379.0,兩,CARDINAL
1379.0,歐洲,LOC
1379.0,兩,CARDINAL
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,第三,ORDINAL
1379.0,雷諾,ORG
1379.0,兩年,DATE
1379.0,歐洲,LOC
1379.0,兩年,DATE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,十,CARDINAL
1379.0,兩年,DATE
1379.0,歐洲,LOC
1379.0,歐洲,LOC
1379.0,西班牙,GPE
1379.0,萬,CARDINAL
1379.0,歐洲,LOC
1407.0,趙小蘭,PERSON
1407.0,特斯拉墜池塘,ORG
1407.0,劉哲琪,PERSON
1407.0,美國,GPE
1407.0,運輸部長,ORG
1407.0,趙小蘭,PERSON
1407.0,趙安吉,PERSON
1407.0,圖達志,PERSON
1407.0,美國,GPE
1407.0,運輸部長,ORG
1407.0,趙小蘭,PERSON
1407.0,福茂集團,ORG
1407.0,趙安吉,PERSON
1407.0,享年歲,DATE
1407.0,趙安吉,PERSON
1407.0,輛特斯拉,GPE
1407.0,德州,GPE
1407.0,紐約郵報,ORG
1407.0,趙氏,PERSON
1407.0,月日,DATE
1407.0,趙安吉,PERSON
1407.0,德州奧斯汀,GPE
1407.0,德州布蘭科縣,GPE
1407.0,趙安吉,PERSON
1407.0,日,GPE
1407.0,詹森城,GPE
1407.0,華爾街日報,ORG
1407.0,近日,DATE
1407.0,趙安吉,PERSON
1407.0,月日,DATE
1407.0,哈佛商學院,ORG
1407.0,德州,GPE
1407.0,座私人莊園,FAC
1407.0,周末,DATE
1407.0,晚間,TIME
1407.0,春節,DATE
1407.0,兩,CARDINAL
1407.0,特斯拉,GPE
1407.0,幾分鐘,TIME
1407.0,趙安吉,PERSON
1407.0,分鐘,TIME
1407.0,特斯拉,ORG
1407.0,特斯拉,ORG
1407.0,兩,CARDINAL
1407.0,趙安吉,PERSON
1407.0,凌晨點分,TIME
1407.0,趙安吉,PERSON
1407.0,趙安吉,PERSON
1407.0,布蘭,PERSON
1407.0,月日,DATE
1407.0,德州,GPE
1407.0,帕克斯頓,PERSON
1407.0,交通部長,ORG
1407.0,二,CARDINAL
1485.0,中國,NORP
1485.0,納智捷,ORG
1485.0,中國,GPE
1485.0,嚴凱泰,PERSON
1485.0,伊朗,GPE
1485.0,比特斯拉,PERSON
1511.0,特斯拉,ORG
1511.0,特斯拉,ORG
1539.0,馬誼郎,PERSON
1539.0,路透社,ORG
1539.0,特斯拉,ORG
1539.0,中國,GPE
