word,count
這一,104
平均,104
輪胎,103
福斯,103
目標,103
全新,103
不錯,102
簡單,102
方便,102
調整,102
科技,102
網頁,102
踏板,101
配備,101
預期,100
地方,100
達到,99
突然,99
引擎,99
獲得,99
整個,99
過去,98
以後,98
服務,97
網友,97
民眾,96
資訊,96
能夠,96
車價,95
車商,95
一次,95
有沒有,95
二手,95
方面,94
分鐘,94
進入,94
版本,94
執行長,94
部分,94
純電,93
實現,92
能力,92
台幣,92
討論,92
控制,92
電子,91
台中,91
缺點,91
冷氣,91
注意,90
正常,89
現場,89
警方,89
快速,89
電量,89
道路,88
關係,88
尤其,88
這台,87
轎車,87
油電,86
油門,86
變成,86
包含,86
完成,86
地點,86
體驗,86
距離,85
計畫,85
大陸,85
想要,85
車位,85
決定,85
新台幣,85
通用,84
費用,84
事情,84
座椅,83
保固,83
交付,83
電腦,83
提升,82
訪問,82
人員,82
關鍵,82
設定,82
國內,81
休旅車,80
方案,80
客戶,80
排名,80
相對,80
似乎,80
優勢,80
以前,79
解決,79
接受,79
時代,79
現代,79
機會,78
國道,78
裡面,78
同樣,78
公布,77
晶片,77
越來越,77
交通,77
試駕,76
開放,76
提高,76
銷售量,76
開啟,75
企業,75
過程,75
專案,75
機車,75
消息,75
嚴重,75
通常,75
願意,75
平台,74
要求,74
照片,74
成功,74
面臨,74
計劃,73
豪華,73
感測器,73
正式,73
減少,72
一堆,72
準備,72
玻璃,72
車身,71
訂單,71
買車,71
太多,71
市區,70
行車,70
上面,70
小孩,70
中心,70
開到,70
意外,70
感受,70
兩個,70
高雄,69
下降,69
類似,69
導航,69
前方,69
媒體,69
老婆,68
零件,68
申請,67
官方,67
工作,67
經濟,67
免費,67
會不會,67
下去,67
當初,67
算是,67
上市,66
位置,66
價值,66
接近,66
預算,66
風險,66
綜合,66
安裝,66
億美,66
近日,65
獲利,65
代表,65
碰撞,65
優點,65
確認,65
取消,65
撞上,64
大型,64
時速,64
幾個,64
品質,64
保護,64
程度,64
車系,64
世界,64
提到,64
選配,64
附近,63
參考,63
確定,63
系列,63
報告,63
擔心,63
成績,63
相比,63
分析,62
經驗,62
角度,62
行為,62
則是,62
避免,62
剎車,61
事件,61
旗下,61
員工,61
底盤,61
後續,61
環境,60
強調,60
啟動,60
車頭,60
油電車,60
尚未,60
智慧,60
唯一,60
幾年,60
對手,59
帶來,59
超越,59
英里,59
廣告,59
挑戰,59
沒辦法,59
男子,59
設備,59
升級,59
最終,59
規定,59
大量,59
之間,58
每個,58
還好,58
支持,58
稍微,58
全自動,58
畫面,58
適合,58
確實,58
舒服,57
國外,57
方向,57
二手車,57
事實,57
沒想到,57
大幅,57
實在,57
進一步,57
狀態,57
高達,56
明年,56
收費,56
好了,56
數量,56
新創,56
壓力,56
男女,56
還在,56
車格,56
鏡頭,56
年底,56
後面,56
不斷,56
考量,55
賽道,55
下來,55
完整,55
燃油車,55
那種,55
國產車,55
車門,55
國產,54
美金,54
來到,54
相信,54
發表,54
車用,54
領域,54
大眾,54
以外,54
操控,54
引發,53
將會,53
韓國,53
車體,53
一種,53
停車格,53
清楚,53
前面,53
減速,53
理賠,52
合理,52
換車,52
優惠,52
中間,52
開起來,52
車體險,52
操作,52
最多,52
車機,52
車友,52
關注,52
回應,52
慢充,51
鴻海,51
一半,51
只能,51
舒適,51
達成,51
座談會,51
供應鏈,51
路邊,51
乘客,51
工程師,51
範圍,51
沒什麼,51
存在,51
新竹,51
安全性,50
紀錄,50
補貼,50
更換,50
值得,50
外觀,50
質感,50
增長,50
受傷,50
聲音,50
先前,50
人民幣,50
三方,50
法院,50
近期,50
期待,50
麻煩,49
試乘,49
重新,49
撞到,49
不到,49
擴大,49
還可以,49
行李箱,49
即可,49
供應商,49
廠牌,49
施工,49
競爭力,49
貨車,49
歡迎,49
條件,49
本田,49
產險,48
期間,48
看過,48
影像,48
長期,48
這點,48
比例,48
保持,48
建立,48
策略,48
因素,48
官網,47
下午,47
趨勢,47
搭配,47
改變,47
反應,47
充滿,47
同意,46
危險,46
政策,46
天窗,46
出門,46
視覺,46
效率,46
蘋果,46
先進,46
休旅,46
油耗,46
奧迪,46
管理,46
地區,46
支援,45
傳出,45
推薦,45
通勤,45
基礎,45
產能,45
花費,45
重點,45
加油,45
資格,45
創新,45
找到,45
小弟,45
改善,45
月份,45
之外,45
真正,44
這也,44
回收,44
證明,44
收到,44
研發,44
隔熱紙,44
酒駕,44
民國,44
了解,44
補助,44
一名,44
偵測,43
撞車,43
產量,43
驚人,43
訪談,43
故障,43
車市,43
推動,43
配置,43
網站,43
會員,43
加州,43
特粉,43
判斷,43
警察,43
低於,43
當天,43
高度,43
協會,42
續航力,42
下車,42
一段,42
好奇,42
入門,42
衰退,42
白色,42
混合,42
中央,42
上車,42
取得,42
要不要,42
買到,42
穩定,42
維持,42
車牌,42
整合,42
提醒,41
社區,41
計算,41
日系,41
電耗,41
後方,41
轉向,41
歷史,41
得到,41
車的,41
請問,41
原來,41
漲價,41
階段,41
報廢,41
路線,41
肇事,41
平常,41
相同,41
機械,41
積極,41
用車,41
泰國,41
不可能,40
焦慮,40
機構,40
國際,40
司機,40
方法,40
流程,40
和泰,40
追撞,40
想像,40
規模,40
每天,40
決策,40
回去,40
日前,40
家裡,40
金額,40
行照,40
不行,40
一位,40
稅金,40
離開,40
水準,40
拿到,40
失控,40
不足,40
保費,39
緊急,39
線上,39
運輸,39
預約,39
股價,39
暢銷,39
補充,39
回到,39
回來,39
打造,39
上路,39
變化,39
利用,39
進車,39
數字,39
文章,39
溫度,39
材料,39
台積電,39
套件,39
下訂,39
交流道,39
北市,38
規劃,38
等級,38
塞車,38
量產,38
在意,38
額外,38
全面,38
十年,38
超車,38
電門,38
反正,38
公有,38
乙式,38
排隊,38
老闆,38
容量,38
最高,38
搭載,38
上海,38
內部,38
新款,38
家人,38
展間,38
疑似,37
終於,37
寧德,37
來回,37
差異,37
佔用,37
納智捷,37
優先,37
上述,37
利潤,37
推文,37
懸吊,37
年度,37
電力,37
倒車,37
喇叭,37
確保,37
產生,37
音響,37
小心,37
每年,37
聽說,36
損失,36
露營,36
台中市,36
設置,36
吉利,36
並未,36
地位,36
印度,36
旁邊,36
環景,36
入手,36
隨便,36
記得,36
計程車,36
慢慢,36
想法,36
具有,36
臉書,36
外型,35
外面,35
雨刷,35
調降,35
公共,35
哨兵,35
供應,35
差距,35
車內,35
改款,35
領先,35
責任,35
第一季,35
組裝,35
難以,35
負責,35
上班,35
這件,35
英國,35
陸續,35
雙方,35
強大,35
人工,34
撞擊,34
經銷商,34
裕隆,34
公開,34
好用,34
駕車,34
先生,34
現有,34
月底,34
解釋,34
路段,34
三年,34
誇張,34
執行,34
專注,34
方向燈,34
上升,34
女兒,34
結束,34
龍頭,34
地圖,34
價差,34
滿足,34
印尼,34
介入,34
等於,34
生活,33
足夠,33
失去,33
相較,33
佔比,33
辦法,33
壓鑄,33
設施,33
普及,33
轉彎,33
吸引,33
聯盟,33
前車,33
結構,33
警告,33
檢查,33
預估,33
分隔島,33
硬體,33
輕鬆,33
冠軍,33
將在,33
轉型,33
社團,33
合資,32
法國,32
購入,32
打開,32
動能,32
留言,32
隔音,32
潛在,32
告訴,32
印象,32
巨大,32
人士,32
起步,32
多數,32
突破,32
用戶,32
有錢人,32
展示,32
學習,32
預測,32
處於,32
有望,32
最佳,32
告知,32
開過,32
應用,32
外媒,32
租賃,32
加油站,32
自行,32
價格戰,31
工具,31
駕照,31
即時,31
依然,31
打算,31
有錢,31
觀察,31
居住,31
分析師,31
解鎖,31
奇怪,31
納入,31
違規,31
可靠,31
工人,31
也許,31
再來,31
行人,31
護欄,31
力道,31
交易,31
瑞典,31
驅動,31
變得,31
剩下,31
安靜,31
訂車,31
訂金,31
消費,31
建商,31
資源,31
強制,31
疫情,31
晚上,31
今日,30
按鍵,30
持有,30
肯定,30
賞車,30
車廂,30
內燃機,30
靜止,30
滿意,30
禮拜,30
禁止,30
首次,30
荷蘭,30
戰略,30
統一,30
這條,30
一路,30
興趣,30
停止,30
提出,30
中型,30
價錢,30
第名,30
錯誤,30
下滑,30
海外,30
等待,30
之下,30
有趣,30
成立,30
皮卡,30
協助,30
翻攝,29
案例,29
現金,29
掛牌,29
導入,29
拔槍,29
駕駛人,29
原先,29
機率,29
作者,29
評估,29
跑車,29
扭力,29
歐美,29
本土,29
回家,29
進步,29
通風,29
投入,29
桃園,29
專家,29
公尺,29
行程,29
順便,29
平價,29
配件,29
評分,29
駕駛座,29
評價,29
大規模,29
次數,29
意味著,29
幫助,29
疑慮,28
發出,28
協議,28
四輪,28
不可,28
努力,28
服務區,28
困難,28
台灣人,28
公斤,28
保值,28
明明,28
社會,28
位於,28
販售,28
問卷,28
里程數,28
結論,28
小鵬,28
輸出,28
專用,28
崛起,28
做出,28
日產,28
三個,28
兩次,28
有效,28
可靠度,28
明確,28
展開,28
訂購,28
近年,27
再次,27
條款,27
笑死,27
這篇,27
幅度,27
長安,27
高級,27
連續,27
訓練,27
庫存,27
紅燈,27
釐清,27
項目,27
這麼多,27
自年,27
車速,27
同事,27
整車,27
限制,27
激烈,27
開心,27
時許,27
價位,27
假設,27
上半年,27
宣傳,27
引起,27
初步,27
實施,27
聽到,27
警示,27
放棄,27
停放,27
同期,27
詢問,27
期望,27
到場,27
亞馬遜,27
卡車,27
行動,27
聯絡,27
估計,27
中古車,27
賠償,26
試圖,26
全世界,26
變速箱,26
攝影,26
多久,26
為主,26
關稅,26
我個,26
註冊,26
有個,26
豪華車,26
說法,26
豪車,26
重量,26
路況,26
身為,26
無線,26
必要,26
評等,26
呼籲,26
跟進,26
新北,26
在內,26
出遊,26
停車位,26
反觀,26
隔壁,26
車種,26
理解,26
工業,26
一項,26
日期,26
公告,26
半年,26
馬路,26
報價,26
台特,26
資金,26
工程,26
高於,26
鄉民,26
一體,26
總數,26
買家,26
安全帶,26
選項,26
標配,26
市佔率,26
理想,26
陣營,26
看板,26
費率,26
發動,25
降幅,25
人類,25
可惜,25
大樓,25
行經,25
恢復,25
下面,25
訊息,25
意思,25
女生,25
燃油,25
架構,25
曝光,25
改成,25
管理局,25
透露,25
電池組,25
適應,25
貸款,25
電費,25
實用,25
大部分,25
東風,25
剛剛,25
實車,25
攝影機,25
正確,25
移動,25
監管,25
對岸,25
概念,25
台東,25
投保,25
常見,25
機器人,25
主動,25
車企,25
拒絕,25
特定,25
認真,25
對此,25
前座,25
車展,25
早上,25
俄羅斯,25
模型,25
陽春,25
管委會,25
上汽,25
重大,25
曾經,25
廣泛,25
第三季,25
竹北,25
小米,25
第二,25
意義,24
感謝,24
早期,24
當成,24
成員,24
參與,24
前進,24
中山區,24
大多數,24
天然,24
路透,24
態度,24
同步,24
油錢,24
聯繫,24
模組,24
大聲,24
措施,24
南韓,24
可靠性,24
還沒,24
不夠,24
副駕,24
馬自達,24
感到,24
起火,24
避震,24
壞掉,24
文件,24
事發,24
普遍,24
利潤率,24
並將,24
樂趣,24
承諾,24
關閉,24
厲害,24
巨頭,24
成熟,24
世代,24
折扣,24
有時候,24
一度,24
衝擊,24
死亡,24
賣出,24
電話,24
實體,24
氣囊,23
屬於,23
強勁,23
費元,23
公平,23
材質,23
開走,23
幾次,23
牌子,23
數位,23
表明,23
高階,23
回廠,23
商業,23
車室,23
累計,23
環保,23
少數,23
瞬間,23
大小,23
高雄市,23
澳洲,23
遠端,23
取代,23
面對,23
擦撞,23
規則,23
單一,23
停車費,23
部門,23
目的,23
詳細,23
凌晨,23
現行,23
保證,23
二手價,23
放緩,23
車損,23
睡覺,23
休息,23
公升,23
空氣,23
目的地,23
運作,23
主導,23
兩年,23
送醫,23
隱私,23
夥伴,23
用於,23
洗車,23
烤漆,23
並不,23
名單,23
不一定,23
壽命,23
顯然,23
落在,22
具備,22
出發,22
好看,22
蔚來,22
累積,22
妥善率,22
上午,22
路面,22
城市,22
動作,22
機制,22
複雜,22
車重,22
行業,22
有感,22
維修費,22
柏林,22
造型,22
單月,22
依舊,22
想到,22
開門,22
速限,22
四個,22
市值,22
沒電,22
電機,22
汽油,22
類別,22
自撞,22
幫忙,22
物體,22
動力車,22
放心,22
高通,22
回答,22
交通安全,22
引進,22
聯合,22
折舊,22
這款,22
類型,22
看法,22
排除,22
一天,22
固定,22
雙手,22
女性,22
紛紛,22
上次,22
建設,22
廣汽,22
求償,22
真是,22
一款,22
造車,21
能不能,21
共同,21
後驅,21
插電,21
自然,21
營運,21
允許,21
小型,21
法規,21
總共,21
代工,21
滿電,21
開採,21
內建,21
全台,21
自費,21
將是,21
頻率,21
這項,21
自小客車,21
主管,21
判決,21
說真的,21
這不,21
暫時,21
開著,21
型號,21
每小時,21
萬萬,21
三大,21
作業,21
回覆,21
製程,21
上下班,21
配合,21
長途,21
切換,21
貨物稅,21
年輕人,21
科技感,21
現實,21
業界,21
經理,21
小改款,21
省油,21
山路,21
驗證,21
新聞網,21
路透社,21
只會,21
組合,21
高層,21
娛樂,21
落後,21
有限,21
跟車,21
報警,21
拖車,21
爆料,21
輪圈,20
肇責,20
眼睛,20
浪費,20
跟上,20
總計,20
用途,20
改裝,20
永遠,20
年年,20
充電器,20
禮券,20
省錢,20
假日,20
右轉,20
這位,20
這段,20
立即,20
不明,20
產線,20
鑄造,20
證實,20
外國,20
底下,20
半導體,20
股票,20
損壞,20
金屬,20
整理,20
車是,20
公園,20
卡鉗,20
級距,20
掌握,20
員警,20
創下,20
充到,20
抱怨,20
瘋狂,20
質疑,20
自行車,20
拿來,20
所謂,20
參加,20
後輪,20
過熱,20
低速,20
漂亮,20
推特,20
區域,20
磷酸,20
商品,20
這輛,20
堅持,20
年初,20
爭議,20
故事,20
這幾年,19
收入,19
定價,19
智障,19
燃料,19
出事,19
並在,19
當年,19
碰到,19
多個,19
零組件,19
全車,19
歐系,19
登入,19
這趟,19
虧損,19
負擔,19
遮陽,19
好處,19
固態,19
例子,19
多元,19
專業,19
認識,19
有什麼,19
出色,19
看車,19
創造,19
磁鐵,19
邏輯,19
下方,19
保桿,19
牛頭牌,19
換電,19
天氣,19
舒適度,19
起跳,19
排行榜,19
換檔,19
領導,19
缺陷,19
鎖定,19
正本,19
不敢,19
法律,19
文化,19
引擎蓋,19
支付,19
精神,19
的輛,19
外匯,19
功率,19
醫院,19
永磁,19
依賴,19
平板,19
語音,19
備註,19
椅子,19
寶馬,19
採取,19
再度,19
給付,19
降至,19
過剩,19
主流,19
三寶,19
連假,19
車險,19
享受,19
各大,18
異音,18
變更,18
同一,18
牌照,18
只好,18
房車,18
後照鏡,18
一部分,18
特殊,18
一波,18
脫落,18
北京,18
過往,18
市占率,18
人座,18
貿易,18
還不,18
訴訟,18
松山區,18
修正,18
物品,18
強化,18
糾紛,18
一陣子,18
辨識,18
成長率,18
通報,18
維護,18
專門,18
稱為,18
回報,18
車頂,18
承認,18
迅速,18
細節,18
手動,18
新高,18
檢舉,18
鑰匙,18
拆解,18
滿滿,18
節省,18
程式,18
第三,18
起亞,18
生命,18
第三人,18
觸控,18
第二季,18
普通,18
良好,18
充飽,18
沒錯,18
划算,18
首批,18
定位,18
音樂,18
消耗,18
變形,18
換成,18
輕型,18
花錢,18
出險,18
看完,18
五年,18
考慮到,18
還蠻,18
表達,18
裝置,18
稅收,18
感應,18
三菱,18
財經,18
救護車,18
規範,18
踩煞車,18
殘值,18
理由,18
有夠,18
致力,18
下班,18
電控,17
遊戲,17
南港,17
團隊,17
逐漸,17
定義,17
太貴,17
路人,17
聲明,17
奈米,17
傻眼,17
實力,17
特黑,17
給我,17
有所,17
首款,17
韓元,17
占用,17
綠色,17
認證,17
賓士車,17
全損,17
前往,17
人生,17
咖啡,17
很棒,17
付費,17
股東,17
臨時,17
長時間,17
相當於,17
年增,17
全程,17
效果,17
平時,17
加熱,17
鼓勵,17
情形,17
部署,17
提告,17
感受到,17
車尾,17
名為,17
答案,17
外界,17
開在,17
租車,17
全景,17
怠速,17
比起來,17
鐵鋰,17
無視,17
搞不好,17
中控,17
年式,17
拒保,17
幹嘛,17
超音波,17
不想,17
熄火,17
盲點,17
周圍,17
韭菜,17
用到,17
安排,17
煞車燈,17
彎道,17
偵測到,17
改用,17
天坑,17
車載,17
嚴格,17
這讓,17
號稱,17
酒測值,17
多年,17
一件,17
店家,17
收購,17
迴轉,17
社群,17
道理,17
影響到,17
功課,17
直流,17
貼文,17
上個,17
老實說,17
自主,17
介紹,17
懷疑,17
承保,17
熟悉,16
直線,16
工會,16
看好,16
放開,16
加價,16
車隊,16
下半年,16
缺乏,16
挪威,16
訪者,16
日常,16
更大,16
臺灣,16
建造,16
可能性,16
腳踏車,16
休息站,16
改進,16
經歷,16
晚間,16
能量,16
沒差,16
兩種,16
組織,16
智能,16
森林,16
兩款,16
不像,16
當作,16
站點,16
知名,16
轉接頭,16
這部分,16
最快,16
沒人,16
密度,16
車板,16
背後,16
外快,16
這輛車,16
接獲,16
神奇,16
公佈,16
周邊,16
四年,16
週五,16
回歸,16
尾門,16
美規,16
據了解,16
乾脆,16
沒事,16
解除,16
還能,16
運算,16
好笑,16
變換,16
覆蓋率,16
加強,16
毫米,16
太陽能,16
路樹,16
視野,16
換掉,16
配額,16
轉移,16
宣稱,16
心態,16
完善,16
減碳,16
道歉,16
提前,16
工藝,16
前名,16
兩人,16
順利,16
可怕,16
有待,16
萬元起,16
真實,16
違反,16
百萬,16
出廠,16
獲報,16
陣子,16
公差,16
大於,16
換上,16
開關,16
協調,16
我開,16
點分,16
布局,16
基隆,16
傷害,16
份額,16
失敗,16
打滑,16
結合,16
還說,16
這就,16
公分,16
用電,16
空調,16
造謠,16
三月,16
家庭,16
幾天,16
塑膠,16
法案,16
裁員,16
概念車,15
陷入,15
平日,15
神車,15
中線,15
民宿,15
等車,15
家用,15
台南,15
來得,15
實測,15
擔憂,15
做到,15
電源,15
大學,15
緊張,15
年份,15
財報,15
放大,15
各地,15
搜尋,15
過彎,15
長城,15
太太,15
大廠,15
整天,15
跑去,15
做法,15
輪框,15
副駕駛座,15
不當,15
用料,15
大力,15
亮眼,15
林志穎,15
老家,15
風向,15
折價,15
兩倍,15
回充,15
外電,15
追上,15
目擊,15
眾多,15
懂車,15
思考,15
意願,15
太大,15
遇過,15
一致,15
佔據,15
手煞車,15
靠近,15
夏天,15
快樂,15
車庫,15
奇瑞,15
一提,15
行情,15
將於年,15
審核,15
佔有率,15
恐嚇,15
勝利,15
記錄器,15
賣車,15
推測,15
氫能,15
有著,15
歐盟,15
交通部,15
黑色,15
中華,15
降到,15
傳動軸,15
貨輪,15
短缺,15
延遲,15
總代理,15
位居,15
售出,15
操駕,15
延長,15
右側,15
修復,15
組成,15
都將,15
首選,15
適用,15
拜登,15
交通局,15
獨立,15
身體,15
威脅,15
消防局,15
運動,15
卡在,15
路感,15
用力,15
離子,15
那麼多,15
報到,15
第條,15
可用,15
富豪,15
攻擊,15
一體化,15
一手,15
永續,15
住家,15
言論,15
電線,15
制定,15
兩側,14
預告,14
南迴,14
他車,14
要用,14
先說,14
建構,14
價格帶,14
半夜,14
共計,14
一部,14
舉行,14
前提,14
一條,14
抵達,14
特性,14
隔天,14
顧問,14
太久,14
即日,14
共享,14
不好,14
徹底,14
促銷,14
以往,14
開個,14
保險局,14
煞停,14
以內,14
各國,14
未能,14
過度,14
打到,14
到達,14
加拿大,14
拍下,14
理論,14
得多,14
女子,14
無關,14
新增,14
時刻,14
該車,14
一圈,14
左轉,14
違停,14
李姓,14
超速,14
長程,14
李嘉濠,14
流行,14
嚇到,14
猶豫,14
監視器,14
消防,14
尷尬,14
心跳,14
嘗試,14
量測,14
疑問,14
仔細,14
野馬,14
正面,14
內線,14
推廣,14
心裡,14
中國製,14
回饋,14
電網,14
客製化,14
調漲,14
停產,14
吃飯,14
聯邦,14
重心,14
不爽,14
把手,14
過來,14
車齡,14
翻倍,14
時程,14
少見,14
按鈕,14
特斯拉都,14
毛利,14
乘坐,14
愈來愈,14
半小時,14
爸爸,14
預警,14
驗車,14
歐元,14
招募,14
視為,14
爆發,14
萬台,14
經營,14
律師,14
想問,14
一步,14
人會,14
首度,14
出爐,14
舉例,14
毀損,14
閃避,14
散熱,14
一汽,14
忘了,14
頻道,14
養車,14
十幾年,14
信心,14
不久,14
高價,14
融資,14
投資人,14
驅車,14
此前,14
每月,14
商用車,14
轉變,14
傾覆,14
十大,14
利率,14
營業,14
一統,14
我還,14
總是,14
有車,14
把車,14
要價,14
顧客,14
發佈,14
差別,14
強烈,13
保障,13
機油,13
旅程,13
旗艦,13
騎車,13
才剛,13
粉碎,13
修改,13
貢獻,13
十分,13
標誌,13
呈現,13
激勵,13
證據,13
難度,13
太陽,13
誤導,13
報案,13
也就是說,13
大橋,13
提早,13
地球,13
元約,13
警察局,13
台萬,13
涉及,13
順順,13
柴油,13
頭部,13
換算,13
週一,13
差點,13
合約,13
如題,13
彭博,13
編譯,13
排檔,13
這類,13
本質,13
呼吸,13
四驅,13
智慧型,13
賽車,13
騎士,13
看不到,13
轉移到,13
之中,13
味道,13
極限,13
家族,13
廁所,13
暴跌,13
業績,13
涉水,13
油價,13
接觸,13
車宿,13
遭到,13
領牌,13
這起,13
危機,13
墨西哥,13
一邊,13
重傷,13
追求,13
討厭,13
新手,13
實質,13
介面,13
甲式,13
擴張,13
名字,13
一般人,13
聯會,13
盤子,13
起至,13
萬輛車,13
進氣,13
觀點,13
驚訝,13
著名,13
最新,13
初期,13
返還,13
旅館,13
多達,13
應對,13
不佳,13
影音,13
得知,13
塑料,13
出風,13
急煞,13
下單,13
想想,13
小黃,13
車了,13
掛牌數,13
粉絲,13
為輛,13
用餐,13
滿街,13
論壇,13
利息,13
這兩個,13
帶動,13
一小時,13
例外,13
僅有,13
填寫,13
消失,13
之際,13
可望,13
觀念,13
爆炸,13
接單,13
下雨,13
位子,13
小車,13
會議,13
知識,13
換個,13
聯網,13
愛車,13
充足,13
江湖,13
預購,13
錄影,13
昨日,13
最早,13
新一代,13
一份,13
買個,13
記錄,13
令人,13
市面,13
暫停,13
板友,13
交由,13
年代,13
熱賣,13
宣佈,13
拖吊,13
判定,13
係數,13
買賣,13
第二名,13
胎壓,13
開去,12
孩子,12
保留,12
切入,12
出差,12
跳針,12
低成本,12
噪音,12
營收,12
通膨,12
議題,12
變動,12
平衡,12
鈴木,12
竊盜,12
整輛車,12
評測,12
困擾,12
網絡,12
上鎖,12
母親,12
我特,12
運用,12
損害,12
編輯,12
迎來,12
屏東,12
盡量,12
歐規,12
線性,12
給予,12
拉高,12
累進,12
私人,12
路過,12
接到,12
交給,12
開出,12
和泰車,12
政治,12
飆升,12
曉得,12
不及,12
南部,12
完美,12
省下,12
消防車,12
採購,12
寶座,12
這份,12
買不到,12
沒用,12
發電機,12
集體,12
乖乖,12
低溫,12
做為,12
鄰居,12
受損,12
分心,12
後並,12
開銷,12
螺絲,12
忘記,12
溝通,12
利曼,12
那台,12
公家,12
會有,12
拍攝,12
市府,12
打敗,12
動態,12
維權,12
瑞銀,12
車版,12
賣場,12
主力,12
華為,12
審查,12
垃圾,12
尺寸,12
水箱,12
爭取,12
折合,12
這將,12
破壞,12
比不上,12
將有,12
教主,12
打破,12
具體,12
開賣,12
置物,12
尾燈,12
縮減,12
前三名,12
嘲笑,12
揭露,12
下跌,12
車況,12
簽署,12
照明,12
這張,12
小小,12
移動式,12
當前,12
記憶,12
從事,12
買不起,12
這並,12
收集,12
罰單,12
提供給,12
清晰,12
的點,12
簽約,12
客車,12
酒測,12
真心,12
兩天,12
三星,12
淹水,12
超多,12
幾萬,12
專屬,12
往往,12
優化,12
台電,12
瑪莎拉蒂,12
轉子,12
商機,12
焦點,12
買氣,12
各家,12
超商,12
一張,12
延後,12
超高,12
承受,12
靈敏,12
友人,12
插座,12
中古,12
英哩,12
以輛,12
隨即,12
坑洞,12
紀念,12
時分,12
一片,12
日系車,12
看出,11
主因,11
行政,11
兩台,11
設廠,11
富邦,11
能裝,11
臺北,11
對象,11
新型,11
沒開,11
中旬,11
很大,11
削減,11
自由,11
一日,11
樣子,11
嗆聲,11
循環,11
破萬,11
緩慢,11
首席,11
屎味,11
先到,11
情境,11
撞測,11
將與,11
衝撞,11
裡的,11
附上,11
妹子,11
車窗,11
上漲,11
中午,11
龐大,11
啟用,11
日圓,11
每日,11
內湖,11
副駕駛,11
釋出,11
單元,11
代步車,11
看似,11
那你,11
第位,11
物理,11
掉落,11
送往,11
準備好,11
回不去,11
雨天,11
下一代,11
震驚,11
米漿,11
拜託,11
赫茲,11
扶手,11
我家,11
高性能,11
通訊,11
篩選,11
短期,11
在一起,11
通路,11
現階段,11
公社,11
財務,11
聯合報,11
轉載,11
之多,11
有項,11
客群,11
抵免,11
恭喜,11
週三,11
受訪者,11
進廠,11
環島,11
感想,11
追蹤,11
專員,11
談判,11
將從,11
更別,11
估算,11
有助於,11
億元,11
化學,11
進度,11
嘉義,11
七人,11
順暢,11
腳步,11
不治,11
攜帶,11
麗寶,11
這車,11
遵守,11
篩選出,11
上週,11
資安,11
會用,11
側車道,11
留下,11
試過,11
講的,11
世紀,11
民間,11
實踐,11
汽油車,11
白天,11
竊電,11
問我,11
就連,11
宣告,11
榜單,11
總結,11
生態,11
超大,11
包覆,11
示範,11
更何況,11
直上,11
樂觀,11
車就,11
旅行,11
紐約,11
過的,11
相反,11
總統,11
上下車,11
享有,11
打臉,11
過保,11
曲線,11
轉接,11
做好,11
大隊,11
時段,11
外資,11
喜好,11
賺錢,11
地板,11
傳動,11
簡約,11
模具,11
看見,11
換了,11
上訴,11
失望,11
縣府,11
中文,11
彰化,11
經典,11
新世代,11
採訪,11
